Fis each locus for each pop 
Eur
"n"	"Ho"	"Hs"	"Fis"	"Xi"	"p"
"AHT106"	30	0.8	0.85	0.05	0.075	"Non Significant"
"X2001"	29	0.76	0.83	0.08	0.1856	"Non Significant"
Sib
"n"	"Ho"	"Hs"	"Fis"	"Xi"	"p"
"X2137"	69	0.72	0.8	0.1	0.69	"Non Significant"
"X2010"	68	0.65	0.77	0.16	1.7408	"Non Significant"
"CXX253"	73	0.67	0.75	0.1	0.73	"Non Significant"
"vWf"	73	0.64	0.83	0.22	3.5332	"Non Significant"
"X2079"	71	0.68	0.75	0.1	0.71	"Non Significant"
"PEZ03"	72	0.85	0.77	-0.1	0.72	"Non Significant"
"AHT119"	71	0.7	0.75	0.07	0.3479	"Non Significant"
"X2201"	74	0.69	0.86	0.2	2.96	"Non Significant"
"X2096"	73	0.62	0.69	0.1	0.73	"Non Significant"
"CXX250"	72	0.81	0.82	0.02	0.0288	"Non Significant"
"CXX225"	74	0.65	0.65	0	0	"Non Significant"
"X2140"	72	0.86	0.82	-0.04	0.1152	"Non Significant"
"X2054"	68	0.76	0.75	-0.02	0.0272	"Non Significant"
"X2168"	70	0.79	0.8	0.02	0.028	"Non Significant"
"X2159"	68	0.82	0.89	0.08	0.4352	"Non Significant"
"AHT138"	73	0.47	0.85	0.45	14.7825	"***"
"CXX204"	73	0.55	0.52	-0.05	0.1825	"Non Significant"
"AHT106"	74	0.59	0.72	0.18	2.3976	"Non Significant"
"X2001"	74	0.82	0.84	0.01	0.0074	"Non Significant"
Chuk
"n"	"Ho"	"Hs"	"Fis"	"Xi"	"p"
"X2137"	82	0.77	0.85	0.09	0.6642	"Non Significant"
"X2010"	83	0.66	0.79	0.16	2.1248	"Non Significant"
"CXX253"	74	0.68	0.75	0.1	0.74	"Non Significant"
"vWf"	81	0.8	0.86	0.07	0.3969	"Non Significant"
"X2079"	84	0.64	0.73	0.12	1.2096	"Non Significant"
"PEZ03"	84	0.77	0.82	0.06	0.3024	"Non Significant"
"AHT119"	82	0.6	0.73	0.18	2.6568	"Non Significant"
"X2201"	83	0.76	0.87	0.13	1.4027	"Non Significant"
"X2096"	84	0.71	0.72	0.01	0.0084	"Non Significant"
"CXX250"	84	0.76	0.81	0.05	0.21	"Non Significant"
"CXX225"	84	0.49	0.53	0.08	0.5376	"Non Significant"
"X2140"	82	0.78	0.86	0.09	0.6642	"Non Significant"
"X2054"	79	0.72	0.76	0.06	0.2844	"Non Significant"
"X2168"	80	0.65	0.73	0.11	0.968	"Non Significant"
"X2159"	81	0.72	0.79	0.09	0.6561	"Non Significant"
"AHT138"	74	0.54	0.75	0.28	5.8016	"*"
"CXX204"	84	0.58	0.68	0.15	1.89	"Non Significant"
"AHT106"	83	0.52	0.77	0.33	9.0387	"**"
"X2001"	80	0.82	0.76	-0.08	0.512	"Non Significant"
