Deviation from Hardy-Weinber Equilibrium for each locus for each pop 
Eur
"chi^2"	"df"	"Pr(chi^2 >)"	"Pr.exact"
62.0409291641657	45	0.0467020623430562	0.084
97.3309448882434	36	1.50133260268248e-07	0.226
31.9968986794472	28	0.274637149496984	0.182
109.683193983609	91	0.0887151653209527	0.108
194.676430072614	45	0	0
43.213493441358	15	0.000145872646042933	0.026
104.551724919405	28	9.14678333074903e-11	0
50.3530633965365	36	0.0565746928260973	0.09
Chuk
"chi^2"	"df"	"Pr(chi^2 >)"	"Pr.exact"
285.206044209429	66	0	0
108.604014394913	28	1.95434779470816e-11	0.017
67.5302930126119	45	0.0164711108399629	0.014
230.400287686005	120	5.71618363753856e-09	0
30.8049319064606	15	0.0093280671472713	0.009
33.7860207612457	36	0.57432320775466	0.124
246.393320798169	55	0	0
62.397192034641	55	0.229989172346932	0.02
2.93161328182307	6	0.817379875767409	0.786
24.1678438792567	28	0.672645848801803	0.278
6.03562274322331	6	0.419211458388189	0.258
79.4152340233614	55	0.0172781291714674	0.005
39.1734381221158	21	0.00935746952911032	0.004
22.7042532789467	28	0.747694418828583	0.158
45.4538028182386	66	0.974852789114733	0.242
119.045045928567	45	1.30901541828266e-08	0
45.4677323336119	15	6.45849981777413e-05	0.002
213.457133013897	36	0	0
15.0353762006339	21	0.821172553362339	0.767
